興櫃一般板股票最新行情表
製表日期: 110年11月29日 16:30:03
代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,投資人成交買賣別,暫停交易開始時間(時:分:秒),成交量,進度日期,上市櫃進度(註)
"1260","富味鄉","19.72","19.50","5,000","19.85","5,000","19.80","19.50","19.64","19.50","賣出","-","26,012","-","-"
"1269","乾杯","149.91","148.00","4,000","152.00","4,000","-",-,"-","-","-","-","-","-","-"
"1271","晨暉生技","62.23","61.30","3,000","62.20","6,000","62.70","61.10","61.88","62.20","買進","-","22,255","-","-"
"1293","利統","41.63","39.20","3,000","40.30","2,990","41.40","39.45","40.28","40.30","買進","-","30,140","-","-"
"1343","旭東環保","27.37","26.60","3,000","27.10","3,000","-",-,"-","-","-","-","-","-","-"
"1563","巧新","58.02","57.20","5,952","57.60","3,000","58.40","56.80","57.37","57.60","買進","-","301,648","-","-"
"1585","鎧鉅","15.21","14.90","10,000","15.20","5,000","15.50","15.00","15.12","15.00","賣出","-","581,900","-","-"
"1594","日高","13.04","13.00","5,000","13.60","4,995","13.60","13.60","13.60","13.60","買進","-","5","-","-"
"1780","立弘","15.17","14.90","10,000","15.15","5,000","15.05","14.95","15.01","14.95","賣出","-","44,003","-","-"
"2071","震南鐵","21.05","20.95","11,000","22.05","12,000","22.05","20.95","21.03","20.95","賣出","-","12,017","-","-"
"2072","世紀風電","168.01","166.50","1,000","168.50","2,000","169.00","164.50","166.69","168.50","買進","-","41,261","-","-"
"2073","雄順","33.71","33.10","3,000","34.20","3,000","33.80","33.30","33.49","33.50","買進","-","12,000","-","-"
"2237","華德動能","34.02","34.20","3,000","34.50","3,000","34.40","33.35","34.06","34.40","買進","-","30,201","-","-"
"2245","詠勝昌","29.50","28.85","3,000","29.55","3,000","29.45","29.35","29.40","29.35","買進","-","15,500","-","-"
"2246","凱勝綠能","18.96","18.40","10,000","18.85","5,000","19.00","18.10","18.46","18.90","買進","-","143,686","-","-"
"2248","華勝-KY","21.95","21.50","3,000","22.50","6,000","-",-,"-","-","-","-","-","-","-"
"2249","湧盛","59.00","58.90","1,800","60.50","3,000","58.90","58.90","58.90","58.90","賣出","-","1,200","-","-"
"2252","為昇科","91.63","91.10","3,000","91.70","5,000","92.30","89.50","91.34","91.70","買進","-","94,161","-","-"
"2254","巨鎧精密","195.36","161.50","2,000","165.00","1,999","206.50","160.00","173.90","165.00","買進","-","32,235","-","-"
"2599","樂揚","14.20","14.15","5,000","14.45","4,900","14.45","14.10","14.39","14.45","買進","-","30,162","-","-"
"2730","美麗信","8.54","8.25","5,000","8.60","6,000","8.60","8.15","8.30","8.60","買進","-","33,005","-","-"
"2733","維格","14.02","13.80","5,000","14.45","4,995","14.45","14.45","14.45","14.45","買進","-","5","-","-"
"2741","老四川","43.43","42.10","3,000","44.15","2,990","44.20","42.20","43.58","44.15","買進","-","2,521","-","-"
"2750","桃禧","19.95","19.15","5,000","19.55","5,000","19.80","19.10","19.51","19.50","買進","-","245,001","-","-"
"2756","聯發國際","133.87","133.00","1,889","135.50","2,999","137.50","133.00","134.84","135.50","買進","-","12,213","110.09.30","櫃買中心同意上櫃契約"
"2758","路易莎咖啡","143.03","141.50","4,000","143.00","1,990","144.00","140.00","141.34","143.00","買進","-","38,876","-","-"
"2938","床的世界","38.85","37.00","2,000","37.80","3,000","37.90","37.00","37.22","37.80","買進","-","20,020","-","-"
"2941","米斯特","45.35","45.20","3,000","46.45","3,000","-",-,"-","-","-","-","-","-","-"
"2942","京站","42.98","42.05","3,000","42.75","2,200","43.00","42.40","42.72","42.75","買進","-","26,993","-","-"
