上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:110/12/02
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","22.66","-0.15 ","22.81","22.82","22.60","22.72","51,506","1,170,261","51","22.60","1","22.66","1","12,946,000","22.66","24.92","20.40"
"00679B","元大美債20年","42.53","+0.33","42.67","42.71","42.50","42.62","1,045,524","44,561,174","456","42.53","10","42.55","1","183,192,000","42.53","9999.95","0.01"
"00687B","國泰20年美債","44.57","+0.36","44.83","44.83","44.52","44.68","125,296","5,598,120","40","44.52","20","44.55","1","189,287,000","44.57","9999.95","0.01"
"00694B","富邦美債1-3","36.75","0.00 ","36.70","36.75","36.70","36.75","363,172","13,346,437","19","36.71","1","36.74","1","315,576,000","36.75","9999.95","0.01"
"00695B","富邦美債7-10","36.73","+0.04","36.73","36.80","36.73","36.79","130,110","4,786,366","12","36.73","24","36.76","2","12,186,000","36.73","9999.95","0.01"
"00696B","富邦美債20年","44.30","+0.43","44.36","44.50","44.28","44.39","393,619","17,473,397","99","44.26","149","44.30","1","635,181,000","44.30","9999.95","0.01"
"00697B","元大美債7-10","39.07","+0.15","39.10","39.10","39.07","39.08","171,210","6,690,295","6","39.05","1","39.07","1","8,212,000","39.07","9999.95","0.01"
"00718B","富邦中國政策債","19.89","0.00 ","19.89","19.90","19.85","19.89","145,007","2,884,044","16","19.83","31","19.87","1","1,139,001,000","19.89","9999.95","0.01"
"00719B","元大美債1-3","29.71","+0.01","29.70","29.71","29.70","29.71","102,000","3,030,410","4","29.65","30","29.69","1","765,014,000","29.71","9999.95","0.01"
"00720B","元大投資級公司債","44.23","+0.19","44.28","44.28","44.19","44.24","89,061","3,939,880","41","44.18","10","44.20","1","764,609,000","44.23","9999.95","0.01"
"00721B","元大中國債3-5","45.29","-0.05 ","45.35","45.35","45.29","45.33","171,000","7,750,600","4","45.23","15","45.29","1","405,622,000","45.29","9999.95","0.01"
"00722B","群益15年IG電信債","47.19","+0.14","47.26","47.26","47.19","47.20","124,000","5,852,250","17","47.10","110","47.19","3","998,739,000","47.19","9999.95","0.01"
"00723B","群益15年IG科技債","42.47","+0.16","42.43","42.47","42.43","42.47","104,000","4,416,840","8","42.36","10","42.45","1","1,031,083,000","42.47","9999.95","0.01"
"00724B","群益10年IG金融債","41.84","+0.09","41.85","41.94","41.84","41.88","117,864","4,936,315","25","41.82","10","41.85","1","1,738,775,000","41.84","9999.95","0.01"
